Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
,October 2017,$233K,46,41,104,51,98.4%
,November 2017,$237K,41,31,90,51,98.8%
,December 2017,$256K,36,19,73,57,98.7%
,January 2018,$250K,28,37,78,68,99.8%
,February 2018,$259K,34,40,83,75,99.2%
,March 2018,$231K,39,51,91,45,98.8%
,April 2018,$265K,47,52,88,42,100.0%
,May 2018,$235K,51,71,107,44,100.2%
,June 2018,$250K,42,54,120,49,100.5%
,July 2018,$248K,67,77,125,49,99.5%
,August 2018,$256K,48,53,130,42,99.9%
,September 2018,$235K,42,38,122,42,99.2%
,October 2018,$225K,43,51,117,52,99.1%
,November 2018,$273K,37,31,111,53,98.9%
,December 2018,$233K,41,26,94,75,99.1%
,January 2019,$232K,33,29,86,85,97.7%
,February 2019,$245K,20,42,104,58,99.1%
,March 2019,$242K,50,58,107,100,99.3%
,April 2019,$235K,62,79,123,42,99.4%
,May 2019,$250K,61,58,114,50,99.9%
,June 2019,$265K,64,54,100,46,99.8%
,July 2019,$253K,57,73,114,64,99.6%
,August 2019,$239K,40,58,123,48,99.2%
,September 2019,$258K,55,42,112,45,98.4%
,October 2019,$255K,41,46,110,52,99.0%
,November 2019,$233K,45,50,119,90,99.1%
,December 2019,$230K,34,32,113,65,98.9%
,January 2020,$260K,31,33,104,50,98.1%
,February 2020,$268K,37,36,109,72,98.6%
,March 2020,$275K,63,70,107,53,99.6%
,April 2020,$284K,48,54,106,50,99.9%
,May 2020,$271K,59,64,104,43,99.4%
,June 2020,$272K,69,67,97,42,100.0%
,July 2020,$282K,70,78,104,41,101.3%
,August 2020,$279K,69,59,87,44,100.6%
,September 2020,$301K,65,52,82,41,101.0%
,October 2020,$290K,53,51,76,43,100.5%
,November 2020,$281K,44,46,62,42,101.1%
,December 2020,$262K,47,26,46,43,101.0%
,January 2021,$312K,22,33,54,55,101.4%
,February 2021,$280K,31,35,54,37,101.5%
,March 2021,$338K,41,48,58,43,101.8%
,April 2021,$328K,50,59,59,36,103.8%
,May 2021,$355K,59,73,66,35,103.9%
,June 2021,$330K,55,64,76,34,104.8%
,July 2021,$353K,66,82,83,36,103.7%
,August 2021,$366K,68,67,76,37,102.9%
,September 2021,$371K,67,57,75,36,102.7%
,October 2021,$359K,59,49,72,42,102.9%
,November 2021,$360K,50,38,56,37,102.8%
,December 2021,$357K,52,30,28,38,103.0%
,January 2022,$371K,22,31,32,45,103.1%
,February 2022,$406K,22,34,26,35,103.2%
,March 2022,$420K,33,58,39,33,103.8%
,April 2022,$425K,41,56,38,31,106.5%
,May 2022,$444K,51,40,42,30,106.2%
,June 2022,$408K,50,58,54,27,104.5%
,July 2022,$428K,60,64,70,34,103.5%
,August 2022,$390K,49,45,67,38,101.1%
,September 2022,$362K,50,52,68,42,100.9%
,October 2022,$379K,47,47,71,36,100.3%
,November 2022,$385K,49,35,59,41,99.6%
,December 2022,$296K,28,18,47,42,99.2%
,January 2023,$332K,24,26,48,66,98.1%
,February 2023,$395K,33,36,54,42,99.8%
,March 2023,$375K,31,34,48,37,101.4%
,April 2023,$430K,37,40,47,41,101.2%
,May 2023,$451K,59,62,47,33,101.5%
,June 2023,$418K,48,56,58,35,102.2%
,July 2023,$390K,26,45,72,40,101.7%
,August 2023,$414K,43,55,80,41,100.7%
,September 2023,$416K,40,45,78,37,99.6%
,October 2023,$410K,49,34,70,39,99.8%
,November 2023,$421K,34,19,58,49,99.5%
,December 2023,$451K,27,27,55,65,99.3%
,January 2024,$382K,24,33,50,43,99.7%
,February 2024,$446K,34,25,44,66,99.4%
,March 2024,$378K,30,44,55,38,100.0%
,April 2024,$398K,31,49,60,34,101.0%
,May 2024,$431K,54,45,55,34,101.0%
,June 2024,$430K,39,42,58,37,100.3%
,July 2024,$400K,38,49,67,33,100.9%
,August 2024,$430K,41,38,61,41,99.3%
,September 2024,$454K,35,32,56,44,99.5%
,October 2024,$438K,28,49,78,34,99.2%
,November 2024,$408K,31,27,71,37,99.5%
,December 2024,$425K,35,19,49,62,99.3%
,January 2025,$409K,29,27,50,47,100.8%
,February 2025,$468K,22,26,51,85,99.2%
"Pooler, GA",January 2012,$144K,21,62,228,164,96.2%
,February 2012,$182K,22,41,241,147,98.3%
,March 2012,$157K,30,46,244,208,96.7%
,April 2012,$166K,31,52,255,136,97.4%
,May 2012,$173K,31,44,257,124,97.6%
,June 2012,$172K,48,51,250,147,100.4%
,July 2012,$177K,46,65,253,120,94.8%
,August 2012,$183K,43,26,218,131,97.9%
,September 2012,$184K,41,25,192,136,97.6%
,October 2012,$202K,36,60,205,134,96.9%
,November 2012,$221K,34,46,214,126,96.8%
,December 2012,$175K,38,24,189,128,98.2%
,January 2013,$173K,30,55,204,106,98.0%
,February 2013,$180K,19,33,208,112,99.5%
,March 2013,$183K,33,49,222,151,98.7%
,April 2013,$195K,36,57,232,112,98.4%
,May 2013,$197K,31,40,232,142,99.2%
,June 2013,$160K,42,51,236,127,97.7%
,July 2013,$193K,46,57,240,144,97.7%
,August 2013,$178K,53,38,224,141,98.0%
,September 2013,$181K,38,41,220,118,97.8%
,October 2013,$168K,45,40,201,130,96.9%
,November 2013,$187K,37,31,190,143,98.3%
,December 2013,$198K,36,35,188,160,98.1%
,January 2014,$187K,34,47,196,143,98.3%
,February 2014,$201K,24,52,218,177,98.7%
,March 2014,$178K,44,50,217,149,96.9%
,April 2014,$189K,34,56,230,107,99.3%
,May 2014,$188K,39,66,251,131,96.9%
,June 2014,$189K,43,51,249,113,98.0%
,July 2014,$187K,33,40,253,139,98.7%
,August 2014,$187K,40,51,255,141,97.6%
,September 2014,$200K,38,40,240,147,99.4%
,October 2014,$206K,39,60,252,145,98.8%
,November 2014,$210K,37,29,235,144,97.9%
,December 2014,$185K,36,21,212,136,98.4%
,January 2015,$185K,27,44,216,156,97.3%
,February 2015,$193K,36,60,225,141,98.2%
,March 2015,$190K,43,54,232,141,97.2%
,April 2015,$185K,29,56,247,78,97.7%
,May 2015,$187K,44,54,252,81,96.9%
,June 2015,$205K,58,76,258,110,98.3%
,July 2015,$198K,46,55,256,100,98.7%
,August 2015,$196K,40,51,255,94,98.4%
,September 2015,$203K,51,61,257,134,97.6%
,October 2015,$222K,38,58,268,115,97.0%
,November 2015,$197K,30,35,258,96,98.6%
,December 2015,$236K,48,66,255,130,98.4%
,January 2016,$198K,28,60,270,138,97.3%
,February 2016,$224K,30,74,304,129,98.4%
,March 2016,$192K,43,74,319,136,100.2%
,April 2016,$225K,37,64,335,121,97.3%
,May 2016,$214K,59,60,322,107,98.3%
,June 2016,$222K,56,65,309,111,99.1%
,July 2016,$217K,45,60,314,115,98.4%
,August 2016,$225K,49,58,299,118,98.1%
,September 2016,$193K,55,40,272,117,98.9%
,October 2016,$229K,45,31,240,148,97.7%
,November 2016,$210K,33,58,253,118,97.0%
,December 2016,$188K,36,40,230,87,97.8%
,January 2017,$209K,32,51,239,110,97.7%
,February 2017,$210K,34,71,261,114,98.5%
,March 2017,$220K,52,60,264,171,97.8%
,April 2017,$218K,64,70,271,141,98.1%
,May 2017,$194K,69,68,279,152,98.6%
,June 2017,$197K,50,75,290,109,97.7%
,July 2017,$195K,51,40,273,94,97.8%
,August 2017,$206K,64,60,260,129,98.3%
,September 2017,$197K,49,53,259,83,98.4%
,October 2017,$221K,50,60,263,149,97.8%
,November 2017,$210K,55,50,252,92,98.7%
,December 2017,$207K,61,60,241,147,97.3%
,January 2018,$225K,33,68,273,101,98.0%
,February 2018,$212K,45,78,296,105,98.2%
,March 2018,$200K,56,81,311,128,98.4%
,April 2018,$212K,59,85,330,84,99.1%
,May 2018,$215K,55,86,357,72,98.2%
,June 2018,$239K,72,69,336,103,98.5%
,July 2018,$228K,60,57,319,90,98.6%
,August 2018,$225K,71,51,292,91,97.9%
,September 2018,$215K,73,51,262,112,98.4%
,October 2018,$225K,51,60,260,108,99.7%
,November 2018,$249K,40,53,266,190,99.4%
,December 2018,$245K,51,51,264,186,98.2%
,January 2019,$212K,35,51,272,120,97.2%
,February 2019,$224K,50,64,280,101,98.3%
,March 2019,$223K,52,61,284,117,97.7%
,April 2019,$232K,57,83,305,136,99.0%
,May 2019,$240K,63,83,315,87,99.3%
,June 2019,$235K,74,61,294,100,98.8%
,July 2019,$235K,72,57,272,90,99.6%
,August 2019,$234K,57,90,289,76,98.9%
,September 2019,$232K,40,65,302,105,99.7%
,October 2019,$269K,54,66,295,105,98.8%
,November 2019,$232K,56,55,269,62,98.9%
,December 2019,$235K,56,51,250,91,98.4%
,January 2020,$247K,49,74,259,129,98.2%
,February 2020,$222K,46,64,264,97,98.7%
,March 2020,$237K,73,61,251,79,99.3%
,April 2020,$230K,60,43,221,86,98.1%
,May 2020,$246K,38,64,230,87,98.7%
,June 2020,$233K,53,75,233,85,98.7%
,July 2020,$228K,66,68,240,124,99.0%
,August 2020,$247K,76,62,241,82,99.5%
,September 2020,$250K,56,56,187,55,99.1%
,October 2020,$255K,56,78,206,104,99.2%
,November 2020,$265K,62,58,192,69,99.5%
,December 2020,$293K,85,48,174,87,98.9%
,January 2021,$258K,69,68,156,69,99.3%
,February 2021,$251K,64,65,151,73,99.2%
,March 2021,$255K,69,88,146,71,99.6%
,April 2021,$256K,88,81,135,45,99.7%
,May 2021,$274K,80,95,139,37,100.4%
,June 2021,$268K,82,79,137,43,100.3%
,July 2021,$268K,85,83,143,44,100.8%
,August 2021,$256K,73,69,131,34,100.9%
,September 2021,$294K,79,54,107,44,101.2%
,October 2021,$316K,66,67,102,35,100.3%
,November 2021,$300K,60,58,88,39,100.2%
,December 2021,$314K,67,53,69,29,100.9%
,January 2022,$336K,51,72,84,45,101.0%
,February 2022,$328K,73,57,72,29,101.1%
,March 2022,$329K,67,87,100,29,101.8%
,April 2022,$315K,65,90,115,31,103.1%
,May 2022,$368K,70,117,148,32,103.6%
,June 2022,$350K,70,88,156,33,101.5%
,July 2022,$340K,56,77,169,29,100.9%
,August 2022,$348K,59,80,172,29,100.3%
,September 2022,$353K,83,61,171,44,100.0%
,October 2022,$356K,69,64,172,38,99.8%
,November 2022,$364K,46,49,177,44,99.3%
,December 2022,$385K,47,36,180,49,97.5%
,January 2023,$380K,39,61,163,65,97.4%
,February 2023,$372K,58,70,158,78,98.8%
,March 2023,$378K,69,64,137,91,99.2%
,April 2023,$400K,62,71,116,84,99.5%
,May 2023,$365K,103,99,121,55,99.5%
,June 2023,$364K,95,87,117,42,99.6%
,July 2023,$380K,91,69,118,39,99.6%
,August 2023,$375K,88,89,114,37,99.1%
,September 2023,$385K,53,81,134,52,98.1%
,October 2023,$373K,66,80,152,51,99.3%
,November 2023,$387K,75,71,137,40,98.7%
,December 2023,$370K,46,54,132,46,99.1%
,January 2024,$381K,50,97,148,42,98.8%
,February 2024,$383K,76,69,154,41,99.2%
,March 2024,$381K,75,77,160,38,99.7%
,April 2024,$385K,89,109,177,51,99.6%
,May 2024,$346K,82,91,190,34,99.1%
,June 2024,$375K,85,93,193,46,98.7%
,July 2024,$361K,84,71,180,53,98.3%
,August 2024,$374K,64,52,164,63,98.7%
,September 2024,$395K,54,45,149,68,98.7%
,October 2024,$335K,41,61,149,54,98.9%
,November 2024,$381K,36,46,158,90,98.8%
,December 2024,$350K,32,35,146,70,97.3%
,January 2025,$365K,36,54,163,82,98.5%
,February 2025,$377K,43,61,181,97,97.8%
"Port St. Lucie, FL",January 2012,$92K,236,317,"1,567",127,95.6%
,February 2012,$98K,246,340,"1,592",133,95.5%
,March 2012,$98K,351,365,"1,623",99,95.3%
,April 2012,$102K,341,333,"1,609",112,96.6%
,May 2012,$98K,396,345,"1,609",122,96.7%
,June 2012,$100K,409,306,"1,522",128,96.7%
,July 2012,$97K,342,307,"1,494",130,96.9%
,August 2012,$110K,416,340,"1,473",111,97.1%
,September 2012,$105K,331,315,"1,499",115,97.0%
,October 2012,$105K,373,342,"1,486",122,96.7%
,November 2012,$110K,337,295,"1,437",110,96.7%
,December 2012,$104K,386,274,"1,401",109,96.5%
,January 2013,$108K,317,364,"1,424",106,95.9%
,February 2013,$111K,323,288,"1,353",106,96.2%
,March 2013,$113K,383,355,"1,328",102,96.6%
,April 2013,$118K,420,349,"1,244",94,97.6%
,May 2013,$119K,390,363,"1,190",101,97.8%
,June 2013,$123K,415,354,"1,175",95,98.1%
,July 2013,$126K,366,398,"1,192",89,98.0%
,August 2013,$127K,401,434,"1,269",85,98.2%
,September 2013,$123K,331,385,"1,240",77,97.0%
,October 2013,$125K,361,466,"1,340",67,97.7%
,November 2013,$126K,335,424,"1,407",86,98.3%
,December 2013,$125K,373,368,"1,433",83,97.1%
,January 2014,$117K,307,493,"1,527",72,97.1%
,February 2014,$124K,370,469,"1,584",78,97.0%
,March 2014,$132K,432,456,"1,544",78,96.4%
,April 2014,$130K,424,473,"1,494",72,97.1%
,May 2014,$131K,492,439,"1,410",67,97.1%
,June 2014,$139K,462,436,"1,366",69,97.8%
,July 2014,$133K,431,434,"1,323",70,97.5%
,August 2014,$139K,422,413,"1,294",61,97.6%
,September 2014,$140K,446,430,"1,235",65,97.8%
,October 2014,$141K,430,435,"1,198",68,97.9%
,November 2014,$142K,371,364,"1,146",64,97.9%
,December 2014,$148K,432,345,"1,126",63,98.0%
,January 2015,$145K,288,558,"1,357",49,97.4%
,February 2015,$143K,325,459,"1,451",58,98.8%
,March 2015,$150K,412,477,"1,447",75,97.3%
,April 2015,$155K,450,473,"1,389",70,97.6%
,May 2015,$154K,425,466,"1,367",63,98.3%
,June 2015,$163K,419,495,"1,367",71,97.9%
,July 2015,$165K,478,491,"1,322",66,98.2%
,August 2015,$160K,399,467,"1,325",66,97.7%
,September 2015,$170K,405,501,"1,349",61,98.0%
,October 2015,$165K,413,466,"1,369",58,98.6%
,November 2015,$158K,341,456,"1,402",63,97.6%
,December 2015,$172K,381,350,"1,337",64,97.7%
,January 2016,$169K,278,553,"1,488",72,97.5%
,February 2016,$165K,309,549,"1,587",74,97.6%
,March 2016,$180K,429,531,"1,618",73,97.5%
,April 2016,$175K,462,532,"1,580",65,97.5%
,May 2016,$180K,469,477,"1,511",67,97.8%
,June 2016,$182K,462,483,"1,445",67,97.8%
,July 2016,$184K,432,450,"1,408",64,98.2%
,August 2016,$187K,449,560,"1,466",70,97.8%
,September 2016,$185K,389,463,"1,490",60,97.7%
,October 2016,$182K,317,396,"1,486",58,97.6%
,November 2016,$189K,310,469,"1,573",66,97.6%
,December 2016,$198K,409,383,"1,516",75,97.4%
,January 2017,$181K,290,518,"1,605",69,97.1%
,February 2017,$195K,291,541,"1,665",76,97.3%
,March 2017,$205K,459,543,"1,623",78,97.5%
,April 2017,$202K,448,503,"1,588",73,97.3%
,May 2017,$205K,495,546,"1,578",65,97.2%
,June 2017,$198K,462,532,"1,570",70,97.5%
,July 2017,$202K,471,521,"1,556",68,97.6%
,August 2017,$202K,438,510,"1,524",66,97.4%
,September 2017,$208K,339,325,"1,444",72,97.5%
,October 2017,$207K,385,549,"1,493",75,97.5%
,November 2017,$219K,394,443,"1,483",63,97.5%
,December 2017,$210K,458,342,"1,361",67,97.2%
,January 2018,$210K,275,629,"1,561",69,97.3%
,February 2018,$210K,345,500,"1,596",71,97.4%
,March 2018,$221K,433,542,"1,569",60,97.4%
,April 2018,$219K,432,536,"1,604",66,97.3%
,May 2018,$215K,538,498,"1,505",66,97.3%
,June 2018,$225K,437,515,"1,513",64,97.8%
,July 2018,$215K,459,550,"1,500",69,97.6%
,August 2018,$228K,482,523,"1,509",64,97.4%
,September 2018,$229K,367,507,"1,591",66,97.3%
,October 2018,$225K,397,595,"1,684",74,97.4%
,November 2018,$225K,395,501,"1,747",61,96.7%
,December 2018,$223K,360,349,"1,658",66,97.3%
,January 2019,$222K,241,614,"1,886",73,97.2%
,February 2019,$227K,312,500,"1,951",88,97.4%
,March 2019,$228K,416,586,"1,987",82,97.8%
,April 2019,$230K,495,541,"1,903",72,97.5%
,May 2019,$235K,512,522,"1,838",73,97.7%
,June 2019,$235K,476,480,"1,753",82,97.7%
,July 2019,$231K,486,523,"1,702",72,97.5%
,August 2019,$237K,463,461,"1,602",78,97.9%
,September 2019,$240K,446,483,"1,592",77,97.5%
,October 2019,$239K,440,575,"1,616",73,97.5%
,November 2019,$240K,414,480,"1,594",64,97.7%
,December 2019,$239K,469,407,"1,512",66,97.6%
,January 2020,$235K,301,654,"1,710",68,97.2%
,February 2020,$233K,334,556,"1,791",77,97.4%
,March 2020,$240K,498,563,"1,729",70,97.7%
,April 2020,$245K,410,344,"1,566",69,98.0%
,May 2020,$242K,340,464,"1,550",75,97.6%
,June 2020,$245K,477,530,"1,487",77,97.9%
,July 2020,$250K,573,523,"1,372",70,98.4%
,August 2020,$252K,577,573,"1,280",64,98.2%
,September 2020,$257K,546,638,"1,292",59,98.5%
,October 2020,$258K,591,560,"1,266",56,98.9%
,November 2020,$258K,492,511,"1,241",53,98.8%
,December 2020,$270K,570,461,"1,130",53,98.7%
,January 2021,$270K,440,555,"1,186",49,98.8%
,February 2021,$271K,477,526,"1,123",52,98.7%
,March 2021,$285K,633,633,609,48,99.5%
,April 2021,$292K,617,632,700,35,99.8%
,May 2021,$296K,552,645,773,32,100.2%
,June 2021,$303K,630,610,777,35,100.8%
,July 2021,$315K,577,554,777,37,100.7%
,August 2021,$320K,504,639,852,36,100.2%
,September 2021,$329K,536,590,834,35,100.1%
,October 2021,$337K,494,636,900,37,100.2%
,November 2021,$336K,517,506,829,35,100.3%
,December 2021,$338K,593,421,733,38,100.2%
,January 2022,$351K,427,532,757,43,99.8%
,February 2022,$350K,463,566,834,37,100.3%
,March 2022,$372K,609,645,826,34,100.5%
,April 2022,$382K,559,612,888,34,100.8%
,May 2022,$392K,560,708,"1,029",38,100.7%
,June 2022,$405K,550,811,"1,309",36,100.4%
,July 2022,$405K,464,659,"1,436",39,99.9%
,August 2022,$395K,507,647,"1,505",40,99.5%
,September 2022,$400K,423,522,"1,570",46,98.2%
,October 2022,$390K,392,492,"1,581",56,98.2%
,November 2022,$396K,363,435,"1,598",61,97.5%
,December 2022,$390K,386,383,"1,510",64,97.5%
,January 2023,$376K,314,625,"1,600",78,97.3%
,February 2023,$376K,358,486,"1,583",72,97.3%
,March 2023,$380K,512,567,"1,492",68,97.4%
,April 2023,$388K,489,533,"1,438",59,97.7%
,May 2023,$395K,547,560,"1,328",64,97.8%
,June 2023,$395K,532,547,"1,296",56,98.2%
,July 2023,$395K,465,553,"1,293",51,98.6%
,August 2023,$393K,488,584,"1,280",54,97.9%
,September 2023,$398K,456,553,"1,358",51,98.6%
,October 2023,$402K,438,590,"1,485",49,98.2%
,November 2023,$409K,371,501,"1,573",55,97.7%
,December 2023,$409K,360,444,"1,620",57,98.1%
,January 2024,$400K,242,661,"1,895",69,97.7%
,February 2024,$400K,373,616,"1,991",71,97.4%
,March 2024,$395K,451,669,"2,076",72,98.0%
,April 2024,$415K,518,670,"2,147",71,97.7%
,May 2024,$410K,512,614,"2,124",70,97.9%
,June 2024,$417K,426,562,"2,149",81,98.1%
,July 2024,$405K,473,518,"2,069",78,97.7%
,August 2024,$410K,473,584,"2,060",79,97.7%
,September 2024,$410K,412,523,"2,044",78,97.7%
,October 2024,$415K,356,484,"2,033",82,97.8%
,November 2024,$415K,310,494,"2,070",85,97.5%
,December 2024,$395K,379,428,"2,011",88,97.5%
,January 2025,$395K,288,742,"2,221",87,97.1%
,February 2025,$410K,302,612,"2,269",91,97.7%
"Post Falls, ID",January 2012,$140K,30,68,292,86,96.5%
,February 2012,$121K,31,48,290,84,96.2%
,March 2012,$143K,48,71,295,128,97.4%
,April 2012,$128K,45,94,326,100,98.0%
,May 2012,$140K,48,75,331,109,99.7%
,June 2012,$160K,48,80,345,74,98.5%
,July 2012,$154K,45,79,365,94,97.8%
,August 2012,$148K,56,75,351,87,97.2%
,September 2012,$145K,51,77,352,109,98.3%
,October 2012,$149K,56,73,333,96,98.5%
,November 2012,$152K,56,30,287,111,97.9%
,December 2012,$157K,44,29,253,110,98.0%
,January 2013,$150K,39,72,272,119,98.4%
,February 2013,$145K,34,74,282,137,98.2%
,March 2013,$165K,42,118,344,91,98.7%
,April 2013,$163K,78,107,361,74,98.3%
,May 2013,$160K,71,113,389,96,99.2%
,June 2013,$160K,56,120,430,88,99.9%
,July 2013,$168K,71,106,443,81,99.1%
,August 2013,$165K,78,80,425,88,98.8%
,September 2013,$169K,68,71,390,108,99.6%
,October 2013,$156K,64,76,371,107,99.6%
,November 2013,$169K,42,47,351,110,99.3%
,December 2013,$196K,50,30,292,107,99.1%
,January 2014,$162K,35,85,311,121,98.2%
,February 2014,$177K,31,89,359,117,98.2%
,March 2014,$164K,46,90,387,121,99.2%
,April 2014,$175K,63,113,423,93,97.8%
,May 2014,$169K,80,119,441,83,99.2%
,June 2014,$174K,79,119,445,82,99.2%
,July 2014,$172K,92,98,443,80,98.7%
,August 2014,$171K,70,112,448,81,98.7%
,September 2014,$168K,66,95,440,100,100.0%
,October 2014,$168K,77,58,404,100,98.5%
,November 2014,$170K,50,94,426,105,99.2%
,December 2014,$192K,69,45,349,123,98.7%
,January 2015,$179K,48,63,310,134,98.4%
,February 2015,$174K,41,85,333,135,99.7%
,March 2015,$177K,78,142,392,85,99.1%
,April 2015,$192K,87,137,432,113,99.7%
,May 2015,$186K,98,130,454,68,98.5%
,June 2015,$200K,111,106,445,72,99.1%
,July 2015,$185K,94,104,443,87,98.4%
,August 2015,$179K,93,102,435,84,99.0%
,September 2015,$195K,91,74,394,89,100.2%
,October 2015,$205K,89,80,368,90,99.2%
,November 2015,$187K,74,59,314,107,99.7%
,December 2015,$184K,62,60,286,101,100.0%
,January 2016,$202K,36,94,326,118,98.1%
,February 2016,$190K,58,116,366,75,99.4%
,March 2016,$203K,86,142,404,141,99.7%
,April 2016,$198K,113,153,437,73,100.0%
,May 2016,$205K,119,158,467,70,100.2%
,June 2016,$200K,133,137,455,64,99.5%
,July 2016,$206K,108,97,427,68,99.9%
,August 2016,$200K,118,120,418,79,100.2%
,September 2016,$214K,78,79,410,81,99.5%
,October 2016,$217K,103,104,401,89,99.6%
,November 2016,$216K,86,64,365,98,99.7%
,December 2016,$211K,100,59,307,91,99.4%
,January 2017,$211K,57,73,308,112,99.0%
,February 2017,$220K,65,99,329,99,98.4%
,March 2017,$217K,84,129,359,96,99.9%
,April 2017,$231K,80,162,420,49,99.6%
,May 2017,$221K,120,142,429,55,100.1%
,June 2017,$225K,117,143,446,59,100.4%
,July 2017,$232K,117,115,432,53,99.9%
,August 2017,$235K,112,148,459,68,100.2%
,September 2017,$230K,110,99,431,77,99.6%
,October 2017,$235K,113,87,383,64,100.0%
,November 2017,$235K,100,63,339,73,99.5%
,December 2017,$240K,74,41,292,90,99.8%
,January 2018,$243K,65,88,313,143,99.4%
,February 2018,$250K,63,92,334,103,99.1%
,March 2018,$265K,105,151,363,65,99.5%
,April 2018,$240K,81,126,393,69,100.3%
,May 2018,$265K,125,165,409,55,100.5%
,June 2018,$260K,106,150,439,48,100.2%
,July 2018,$260K,127,137,383,60,100.0%
,August 2018,$273K,144,136,314,67,99.6%
,September 2018,$287K,121,100,288,56,99.5%
,October 2018,$263K,110,109,274,43,98.9%
,November 2018,$262K,111,70,234,59,99.5%
,December 2018,$268K,69,47,212,60,99.5%
,January 2019,$263K,70,110,206,60,99.4%
,February 2019,$269K,76,114,218,48,99.7%
,March 2019,$284K,78,149,236,20,99.5%
,April 2019,$272K,112,196,265,25,99.8%
,May 2019,$294K,116,165,258,23,99.8%
,June 2019,$290K,137,167,278,13,99.7%
,July 2019,$291K,144,138,290,14,100.2%
,August 2019,$284K,116,156,297,22,100.1%
,September 2019,$285K,150,93,257,26,99.5%
,October 2019,$300K,127,100,255,29,99.8%
,November 2019,$315K,119,58,208,41,100.1%
,December 2019,$300K,96,37,149,35,100.2%
,January 2020,$297K,76,79,132,34,99.8%
,February 2020,$318K,67,101,127,57,99.2%
,March 2020,$317K,112,125,137,22,100.2%
,April 2020,$310K,97,121,176,12,99.5%
,May 2020,$330K,83,118,179,32,99.9%
,June 2020,$329K,128,118,164,32,100.2%
,July 2020,$342K,149,147,137,39,100.1%
,August 2020,$335K,143,158,144,23,100.9%
,September 2020,$350K,120,110,118,20,101.3%
,October 2020,$341K,152,105,104,17,101.3%
,November 2020,$383K,115,55,54,7,102.1%
,December 2020,$350K,81,44,35,12,102.0%
,January 2021,$398K,68,61,29,6,103.9%
,February 2021,$389K,84,109,39,6,104.2%
,March 2021,$448K,102,149,54,6,104.7%
,April 2021,$425K,124,129,64,5,103.2%
,May 2021,$435K,104,116,52,5,102.1%
,June 2021,$445K,120,120,85,5,102.7%
,July 2021,$444K,100,121,110,9,101.5%
,August 2021,$480K,103,119,113,7,100.8%
,September 2021,$467K,102,125,113,13,100.2%
,October 2021,$480K,128,101,105,16,99.5%
,November 2021,$477K,103,77,78,18,99.7%
,December 2021,$490K,97,54,53,17,100.1%
,January 2022,$488K,62,75,37,23,99.8%
,February 2022,$497K,74,71,36,8,100.7%
,March 2022,$526K,95,107,46,5,101.6%
,April 2022,$545K,90,125,75,5,102.0%
,May 2022,$550K,107,146,116,6,100.1%
,June 2022,$525K,94,139,171,13,99.2%
,July 2022,$520K,50,129,193,14,98.4%
,August 2022,$473K,86,87,183,17,98.5%
,September 2022,$493K,74,93,199,28,97.9%
,October 2022,$515K,71,67,193,33,97.5%
,November 2022,$459K,51,42,166,40,97.9%
,December 2022,$527K,52,29,131,42,97.9%
,January 2023,$447K,44,67,121,85,98.2%
,February 2023,$474K,58,75,109,84,98.4%
,March 2023,$439K,80,96,130,18,98.6%
,April 2023,$459K,61,88,141,31,98.0%
,May 2023,$470K,75,110,170,11,99.2%
,June 2023,$451K,74,97,176,18,98.6%
,July 2023,$520K,83,80,167,32,98.9%
,August 2023,$464K,69,84,175,28,99.0%
,September 2023,$460K,68,64,165,34,98.5%
,October 2023,$499K,59,44,152,45,98.2%
,November 2023,$507K,48,48,133,54,97.6%
,December 2023,$452K,51,31,117,60,98.7%
,January 2024,$439K,35,44,101,72,96.9%
,February 2024,$426K,43,55,97,52,99.0%
,March 2024,$465K,59,81,93,33,99.2%
,April 2024,$507K,70,92,105,25,99.4%
,May 2024,$490K,72,92,130,19,98.5%
,June 2024,$478K,65,94,154,18,98.5%
,July 2024,$542K,52,84,165,19,99.0%
,August 2024,$478K,68,93,180,26,99.1%
,September 2024,$490K,60,73,183,42,99.3%
,October 2024,$535K,66,66,173,53,97.5%
,November 2024,$507K,46,54,156,51,98.7%
,December 2024,$510K,67,30,129,52,99.1%
,January 2025,$464K,43,60,119,67,99.0%
,February 2025,$470K,55,63,99,37,98.9%
"Prosper, TX",January 2012,$247K,18,37,143,213,97.2%
,February 2012,$285K,25,40,136,85,96.7%
,March 2012,$321K,28,49,141,87,96.6%
,April 2012,$316K,43,37,130,62,95.8%
,May 2012,$299K,22,45,141,55,96.3%
,June 2012,$330K,34,49,147,72,96.0%
,July 2012,$321K,42,41,148,86,96.8%
,August 2012,$318K,35,36,147,75,97.4%
,September 2012,$350K,34,21,125,105,96.9%
,October 2012,$378K,24,39,125,91,95.6%
,November 2012,$363K,30,44,124,65,96.0%
,December 2012,$370K,31,35,112,83,97.8%
,January 2013,$293K,36,39,113,76,97.4%
,February 2013,$370K,30,40,126,51,97.8%
,March 2013,$383K,34,61,144,67,97.1%
,April 2013,$346K,45,50,141,47,97.4%
,May 2013,$365K,41,48,129,74,96.0%
,June 2013,$360K,60,54,131,61,97.0%
,July 2013,$380K,35,51,126,52,97.2%
,August 2013,$370K,53,47,129,60,96.7%
,September 2013,$357K,33,26,113,45,97.3%
,October 2013,$363K,26,34,111,57,97.1%
,November 2013,$423K,37,43,115,44,97.4%
